raw,category1,category2,category3
디디아이비,디디아이비,기타,기타
루시오,루시오,기타,기타
소우몰,소우몰,기타,기타
마더스,마더스,기타,기타
바로몰,바로몰,기타,기타
일주일아이엔씨,일주일아이엔씨,기타,기타
청춘스토리,청춘스토리,기타,기타
고객센터 18.9L,고객센터,스파클몰,스파클몰
고객센터 1L,고객센터,스파클몰,스파클몰
고객센터 2L,고객센터,스파클몰,스파클몰
고객센터 330mL,고객센터,스파클몰,스파클몰
고객센터 500mL,고객센터,스파클몰,스파클몰
고객센터 기타,고객센터,스파클몰,스파클몰
고객센터 부자재,고객센터,스파클몰,스파클몰
고객센터 세트상품,고객센터,스파클몰,스파클몰
고객센터 탄산수,고객센터,스파클몰,스파클몰
스파클몰 18.9L,스파클몰,스파클몰,스파클몰
스파클몰 1L,스파클몰,스파클몰,스파클몰
스파클몰 2L,스파클몰,스파클몰,스파클몰
스파클몰 330mL,스파클몰,스파클몰,스파클몰
스파클몰 500mL,스파클몰,스파클몰,스파클몰
스파클몰 rPET,스파클몰,스파클몰,스파클몰
스파클몰 거치대,스파클몰,스파클몰,스파클몰
스파클몰 냉온수기,스파클몰,스파클몰,스파클몰
스파클몰 네이버쇼핑검색,스파클몰,스파클몰,스파클몰
스파클몰 대량상품,스파클몰,스파클몰,스파클몰
스파클몰 세트상품,스파클몰,스파클몰,스파클몰
스파클몰 오프라인셀러,스파클몰,스파클몰,스파클몰
스파클몰 정기배송,스파클몰,스파클몰,스파클몰
스파클몰 탄산상품,스파클몰,스파클몰,스파클몰
스파클몰 펌프,스파클몰,스파클몰,스파클몰
에코보틀 특가전,스파클몰,스파클몰,스파클몰
기타(업체),기타업체,오프라인,오프라인
바로몰(오프라인),바로몰(오프라인),오프라인,오프라인
야놀자엠앤디,야놀자엠앤디,오프라인,오프라인
에네스,에네스,오프라인,오프라인
준코,준코,오프라인,오프라인
토탈,토탈,오프라인,오프라인
한양스토아,한양스토아,오프라인,오프라인
11번가,11번가,11번가,외부몰
G마켓,G마켓,G마켓,외부몰
네이버,네이버,네이버,외부몰
알리,알리,알리,외부몰
옥션,옥션,옥션,외부몰
위메프,위메프,위메프,외부몰
카카오,카카오,카카오,외부몰
케이딜,케이딜,케이딜,외부몰
쿠팡,쿠팡,쿠팡,외부몰
토스,토스,토스,외부몰
티딜,티딜,티딜,외부몰
티몬,티몬,티몬,외부몰
위메프,위메프,위메프,외부몰
인터파크,인터파크,인터파크,외부몰
현대비즈,현대비즈,기타,기타
홈플러스,홈플러스,기타,기타
조인,조인,물류,물류
기타(협찬),기타(협찬),기타(협찬),사은품
반품,반품,반품,사은품
사은품,사은품,사은품,사은품
